Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	Control_RNA_seq	Hypoxia_RNA_seq	C1_5	C2_6	C4_7	H1_5	H3_8	H5_7
Chr20:28940000-28940000	20	28940000	28940000		null					Not found	0	0.23029537498950958	0.08629021793603897	0.0	0.40278923511505127	0.2880968749523163	0.0	0.0	0.2588706612586975
Chr20:28940001-28940001	20	28940001	28940001		null					Not found	0	0.23029537498950958	0.08629021793603897	0.0	0.40278923511505127	0.2880968749523163	0.0	0.0	0.2588706612586975
Chr20:28940002-28940002	20	28940002	28940002		null					Not found	0	0.23029537498950958	0.08629021793603897	0.0	0.40278923511505127	0.2880968749523163	0.0	0.0	0.2588706612586975
Chr20:28940003-28940003	20	28940003	28940003		null					Not found	0	0.23029537498950958	0.08629021793603897	0.0	0.40278923511505127	0.2880968749523163	0.0	0.0	0.2588706612586975
Chr20:28940004-28940004	20	28940004	28940004		null					Not found	0	0.23029537498950958	0.1006719246506691	0.0	0.40278923511505127	0.2880968749523163	0.0	0.0	0.3020157814025879
Chr20:28940005-28940005	20	28940005	28940005		null					Not found	0	0.23029537498950958	0.1006719246506691	0.0	0.40278923511505127	0.2880968749523163	0.0	0.0	0.3020157814025879
Chr20:28940006-28940006	20	28940006	28940006		null					Not found	0	0.21537725627422333	0.1006719246506691	0.0	0.3580348789691925	0.2880968749523163	0.0	0.0	0.3020157814025879
Chr20:28940007-28940007	20	28940007	28940007		null					Not found	0	0.21537725627422333	0.1006719246506691	0.0	0.3580348789691925	0.2880968749523163	0.0	0.0	0.3020157814025879
Chr20:28940008-28940008	20	28940008	28940008		null					Not found	0	0.21537725627422333	0.1006719246506691	0.0	0.3580348789691925	0.2880968749523163	0.0	0.0	0.3020157814025879
Chr20:28940009-28940009	20	28940009	28940009		null					Not found	0	0.21537725627422333	0.1006719246506691	0.0	0.3580348789691925	0.2880968749523163	0.0	0.0	0.3020157814025879
Chr20:28940010-28940010	20	28940010	28940010		null					Not found	0	0.23029537498950958	0.11505363136529922	0.0	0.40278923511505127	0.2880968749523163	0.0	0.0	0.34516090154647827
Chr20:28940011-28940011	20	28940011	28940011		null					Not found	0	0.23029537498950958	0.12943534553050995	0.0	0.40278923511505127	0.2880968749523163	0.0	0.0	0.38830602169036865
Chr20:28940012-28940012	20	28940012	28940012		null					Not found	0	0.24338723719120026	0.12943534553050995	0.03927562013268471	0.40278923511505127	0.2880968749523163	0.0	0.0	0.38830602169036865
Chr20:28940013-28940013	20	28940013	28940013		null					Not found	0	0.24338723719120026	0.12943534553050995	0.03927562013268471	0.40278923511505127	0.2880968749523163	0.0	0.0	0.38830602169036865
Chr20:28940014-28940014	20	28940014	28940014		null					Not found	0	0.24338723719120026	0.12943534553050995	0.03927562013268471	0.40278923511505127	0.2880968749523163	0.0	0.0	0.38830602169036865
Chr20:28940015-28940015	20	28940015	28940015		null					Not found	0	0.24338723719120026	0.12943534553050995	0.03927562013268471	0.40278923511505127	0.2880968749523163	0.0	0.0	0.38830602169036865
Chr20:28940016-28940016	20	28940016	28940016		null					Not found	0	0.24338723719120026	0.12943534553050995	0.03927562013268471	0.40278923511505127	0.2880968749523163	0.0	0.0	0.38830602169036865
Chr20:28940017-28940017	20	28940017	28940017		null					Not found	0	0.24338723719120026	0.12943534553050995	0.03927562013268471	0.40278923511505127	0.2880968749523163	0.0	0.0	0.38830602169036865
